episode,step,state,action,reward,phase
3,0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,2,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
3,3,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,4,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,5,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,6,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,7,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,8,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,10,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,11,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-8.0,2
3,12,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-0.0,2
3,13,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,14,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,15,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,16,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,17,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,18,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,19,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,21,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,22,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,23,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,24,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,25,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,26,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,27,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,28,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,29,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,30,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
3,31,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,32,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,33,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,34,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,35,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-2.0,0
3,36,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-12.0,2
3,37,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-22.0,2
3,38,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-32.0,2
3,39,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-42.0,2
3,40,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-52.0,2
3,41,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-62.0,2
3,42,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-72.0,2
3,43,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-82.0,2
3,44,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-97.0,2
3,45,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-117.0,2
3,46,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-137.0,2
3,47,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-157.0,2
3,48,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-177.0,2
3,49,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-197.0,2
3,50,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-220.0,2
3,51,"(0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0)",0,-162.0,0
3,52,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-172.0,2
3,53,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-182.0,0
3,54,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-192.0,2
3,55,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-202.0,2
3,56,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-212.0,2
3,57,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-222.0,2
3,58,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-232.0,2
3,59,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-242.0,2
3,60,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-252.0,0
3,61,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-262.0,2
3,62,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-272.0,2
3,63,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-282.0,2
3,64,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-292.0,2
3,65,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
3,66,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0,-0.0,0
3,67,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,68,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
3,69,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,70,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,71,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,72,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,73,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,74,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,75,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,76,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,77,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,78,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,79,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,80,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,81,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,82,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,83,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,84,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,85,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,86,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,87,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,88,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,89,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,90,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,91,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,92,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,93,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
3,94,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,95,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
3,96,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-5.0,0
3,97,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-15.0,2
3,98,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-25.0,2
3,99,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-35.0,2
3,100,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-50.0,2
3,101,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-70.0,2
3,102,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-90.0,2
3,103,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-110.0,2
3,104,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-130.0,2
3,105,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0,-95.0,0
3,106,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-112.0,2
3,107,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-133.0,0
3,108,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0)",2,-152.0,2
3,109,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-172.0,0
3,110,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-192.0,0
3,111,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-212.0,2
3,112,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-232.0,0
3,113,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-252.0,2
3,114,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-272.0,0
3,115,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-292.0,2
3,116,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-312.0,0
3,117,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-332.0,2
3,118,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-352.0,0
3,119,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-372.0,2
3,120,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-392.0,0
3,121,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-412.0,2
3,122,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-432.0,0
3,123,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-452.0,2
3,124,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-472.0,0
3,125,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,-492.0,2
3,126,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-207.0,0
3,127,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-217.0,2
3,128,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-227.0,2
3,129,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-237.0,2
3,130,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-247.0,2
3,131,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-257.0,0
3,132,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-267.0,2
3,133,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-277.0,0
3,134,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-287.0,2
3,135,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-297.0,0
3,136,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-6.0,2
3,137,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-16.0,2
3,138,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-26.0,2
3,139,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-36.0,0
3,140,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-46.0,2
3,141,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-56.0,2
3,142,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,-71.0,2
3,143,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,-91.0,2
3,144,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,-111.0,2
3,145,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,-131.0,2
3,146,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0,-106.0,0
3,147,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-116.0,0
3,148,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-126.0,2
3,149,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-136.0,2
3,150,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-146.0,2
3,151,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-156.0,2
