episode,step,state,action,reward,phase
10,0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,2,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,3,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,4,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,5,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,6,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,7,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,8,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
10,9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,10,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,11,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-8.0,0
10,12,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-18.0,0
10,13,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-28.0,0
10,14,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-38.0,0
10,15,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-48.0,0
10,16,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-58.0,0
10,17,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-68.0,2
10,18,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-78.0,0
10,19,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-88.0,2
10,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-98.0,0
10,21,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-108.0,2
10,22,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-118.0,0
10,23,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-0.0,2
10,24,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,25,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,26,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
10,27,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,28,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,29,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,30,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,31,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,32,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,33,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,34,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
10,35,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-2.0,0
10,36,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-12.0,0
10,37,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-22.0,0
10,38,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-32.0,0
10,39,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-42.0,0
10,40,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-52.0,0
10,41,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-62.0,0
10,42,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-72.0,0
10,43,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-82.0,0
10,44,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-101.0,2
10,45,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-121.0,2
10,46,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-141.0,2
10,47,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,-161.0,2
10,48,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0,-132.0,0
10,49,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-142.0,0
10,50,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-152.0,0
10,51,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-162.0,0
10,52,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-172.0,0
10,53,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-182.0,0
10,54,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-192.0,0
10,55,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",0,-202.0,0
